x
772
701
681
620
618
543
551
848
1114
1079
1143
1040
1018
923
862
881
903
948
952
915
1096
965
1067
1049
948
863
1072
1440
1638
1669
1640
1699
1714
1571
1583
1481
1418
1255
1166
1037
914
993
1008
1094
1454
1334
1184
1180
1033
994
847
719
778
866
804
