x
2.15
2.01
2.05
2.24
2.02
2
2
1.89
2.3
2.19
2
2.05
2.1
1.93
2.19
2.11
2.28
2.12
2.03
1.99
2.18
2.09
1.96
2.07
2.07
1.99
2.22
2.02
2
2.24
2.08
1.97
1.92
1.89
2.04
2.1
1.96
2.15
1.98
2.09
1.98
2.1
2.02
2.03
2.03
2.05
2.15
2.33
2.1
2.27
2.16
2.1
2.2
1.95
1.95
